review_id,example_id,degradation_type,split,blind_label,artifact_removal_1_5,detail_preservation_1_5,texture_authenticity_1_5,over_smoothing_1_5,hallucination_risk_1_5,overall_1_5,choose_for_restoration,notes
review_00036,example_00043,scratch_dust,test,Output 00036,1,3,3,2,3,1,no,
review_00037,example_00043,scratch_dust,test,Output 00037,3,2,3,3,3,2,no,
review_00038,example_00043,scratch_dust,test,Output 00038,2,2,2,3,3,2,no,
review_00039,example_00043,scratch_dust,test,Output 00039,2,2,2,4,3,1,no,
review_00040,example_00043,scratch_dust,test,Output 00040,4,4,3,3,2,3,maybe,
review_00041,example_00024,blur_contrast,test,Output 00041,3,3,3,3,1,3,no,
review_00042,example_00024,blur_contrast,test,Output 00042,3,3,4,2,3,3,no,
review_00043,example_00024,blur_contrast,test,Output 00043,3,2,2,3,2,2,no,
review_00044,example_00024,blur_contrast,test,Output 00044,4,4,3,1,1,4,yes,
review_00045,example_00024,blur_contrast,test,Output 00045,4,3,3,2,1,4,yes,
review_00046,example_00044,grain,test,Output 00046,4,3,3,2,2,3,maybe,
review_00047,example_00044,grain,test,Output 00047,3,2,3,3,2,3,no,
review_00048,example_00044,grain,test,Output 00048,2,2,3,2,2,2,no,
review_00049,example_00044,grain,test,Output 00049,3,3,2,3,3,2,no,
review_00050,example_00044,grain,test,Output 00050,3,2,3,3,3,3,maybe,
review_00051,example_00053,grain,test,Output 00051,3,4,4,2,2,3,maybe,
review_00052,example_00053,grain,test,Output 00052,5,3,3,2,2,4,yes,
review_00053,example_00053,grain,test,Output 00053,5,4,2,2,3,4,yes,
review_00054,example_00053,grain,test,Output 00054,5,2,2,4,2,2,no,
review_00055,example_00053,grain,test,Output 00055,5,4,4,2,2,4,yes,
review_00056,example_00025,scratch_dust,test,Output 00056,5,3,3,2,4,3,no,
review_00057,example_00025,scratch_dust,test,Output 00057,4,3,4,3,3,2,no,
review_00058,example_00025,scratch_dust,test,Output 00058,2,3,4,2,3,2,no,
review_00059,example_00025,scratch_dust,test,Output 00059,3,3,3,3,4,3,no,
review_00060,example_00025,scratch_dust,test,Output 00060,5,4,4,2,4,4,yes,
review_00061,example_00004,scratch_dust,test,Output 00061,1,3,3,2,2,1,no,
review_00062,example_00004,scratch_dust,test,Output 00062,2,2,2,3,3,2,no,
review_00063,example_00004,scratch_dust,test,Output 00063,3,3,2,3,3,2,no,
review_00064,example_00004,scratch_dust,test,Output 00064,2,3,2,3,3,2,no,
review_00065,example_00004,scratch_dust,test,Output 00065,3,3,3,2,3,3,maybe,
review_00066,example_00048,blur_contrast,test,Output 00066,5,4,4,2,2,4,yes,
review_00067,example_00048,blur_contrast,test,Output 00067,5,4,4,2,2,4,yes,
review_00068,example_00048,blur_contrast,test,Output 00068,4,3,3,2,2,4,maybe,
review_00069,example_00048,blur_contrast,test,Output 00069,4,3,3,3,2,4,maybe,
review_00070,example_00048,blur_contrast,test,Output 00070,4,3,3,3,2,4,maybe,
review_00071,example_00054,blur_contrast,test,Output 00071,3,2,3,2,2,3,maybe,
review_00072,example_00054,blur_contrast,test,Output 00072,3,2,3,3,2,3,maybe,
review_00073,example_00054,blur_contrast,test,Output 00073,3,3,3,3,2,4,maybe,
review_00074,example_00054,blur_contrast,test,Output 00074,3,3,3,3,2,3,maybe,
review_00075,example_00054,blur_contrast,test,Output 00075,3,3,3,3,2,3,maybe,
review_00076,example_00022,scratch_dust,test,Output 00076,2,3,4,2,2,1,no,
review_00077,example_00022,scratch_dust,test,Output 00077,2,3,3,4,4,1,no,
review_00078,example_00022,scratch_dust,test,Output 00078,3,2,3,5,4,1,no,
review_00079,example_00022,scratch_dust,test,Output 00079,3,2,3,4,5,1,no,
review_00080,example_00022,scratch_dust,test,Output 00080,3,2,2,3,2,3,maybe,
review_00081,example_00122,grain,test,Output 00081,4,2,2,5,5,1,no,
review_00082,example_00122,grain,test,Output 00082,3,2,2,3,3,2,no,
review_00083,example_00122,grain,test,Output 00083,4,3,2,4,2,3,no,
review_00084,example_00122,grain,test,Output 00084,4,3,3,3,3,3,maybe,
review_00085,example_00122,grain,test,Output 00085,4,3,2,3,3,3,maybe,
review_00086,example_00047,grain,test,Output 00086,3,2,2,4,4,3,no,
review_00087,example_00047,grain,test,Output 00087,5,3,3,2,4,3,maybe,
review_00088,example_00047,grain,test,Output 00088,4,2,2,3,2,2,no,
review_00089,example_00047,grain,test,Output 00089,2,2,2,2,2,2,no,
review_00090,example_00047,grain,test,Output 00090,3,2,2,4,5,1,no,
review_00091,example_00006,blur_contrast,test,Output 00091,3,3,2,4,2,2,no,
review_00092,example_00006,blur_contrast,test,Output 00092,3,3,2,4,2,2,no,
review_00093,example_00006,blur_contrast,test,Output 00093,3,3,2,3,2,2,no,
review_00094,example_00006,blur_contrast,test,Output 00094,3,3,3,3,2,3,no,
review_00095,example_00006,blur_contrast,test,Output 00095,4,4,3,3,1,4,maybe,
review_00096,example_00027,blur_contrast,test,Output 00096,2,2,2,3,2,2,no,
review_00097,example_00027,blur_contrast,test,Output 00097,3,3,3,2,2,3,maybe,
review_00098,example_00027,blur_contrast,test,Output 00098,4,4,4,1,2,4,yes,
review_00099,example_00027,blur_contrast,test,Output 00099,4,3,3,3,3,3,maybe,
review_00100,example_00027,blur_contrast,test,Output 00100,4,3,2,3,3,3,no,
review_00101,example_00005,grain,test,Output 00101,3,4,3,3,2,4,maybe,
review_00102,example_00005,grain,test,Output 00102,4,3,3,3,3,3,maybe,
review_00103,example_00005,grain,test,Output 00103,5,2,3,4,2,3,maybe,
review_00104,example_00005,grain,test,Output 00104,2,3,3,2,2,2,no,
review_00105,example_00005,grain,test,Output 00105,3,2,2,3,2,2,no,
