review_id,example_id,degradation_type,split,blind_label,true_method,prediction_path,manifest_path
review_00011,example_00052,scratch_dust,test,Output 00011,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00052_scratch_dust_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00012,example_00052,scratch_dust,test,Output 00012,residual_ddpm_v1_conservative_test_50_steps,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\residual_ddpm_v1_conservative_test_50_steps\example_00052_scratch_dust_residual_ddpm_v1_conservative_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\prediction_manifest.csv
review_00013,example_00052,scratch_dust,test,Output 00013,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00052_scratch_dust_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00014,example_00052,scratch_dust,test,Output 00014,residual_ddpm_v1_full_test_50_steps,outputs\predictions\residual_ddpm_v1_full_test_50steps\residual_ddpm_v1_full_test_50_steps\example_00052_scratch_dust_residual_ddpm_v1_full_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_full_test_50steps\prediction_manifest.csv
review_00015,example_00052,scratch_dust,test,Output 00015,conditional_ddpm_v3_splitaware_50_steps,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\conditional_ddpm_v3_splitaware_50_steps\example_00052_scratch_dust_conditional_ddpm_v3_splitaware_50_steps_prediction.png,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\prediction_manifest.csv
review_00016,example_00023,grain,test,Output 00016,residual_ddpm_v1_full_test_50_steps,outputs\predictions\residual_ddpm_v1_full_test_50steps\residual_ddpm_v1_full_test_50_steps\example_00023_grain_residual_ddpm_v1_full_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_full_test_50steps\prediction_manifest.csv
review_00017,example_00023,grain,test,Output 00017,conditional_ddpm_v3_splitaware_50_steps,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\conditional_ddpm_v3_splitaware_50_steps\example_00023_grain_conditional_ddpm_v3_splitaware_50_steps_prediction.png,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\prediction_manifest.csv
review_00018,example_00023,grain,test,Output 00018,residual_ddpm_v1_conservative_test_50_steps,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\residual_ddpm_v1_conservative_test_50_steps\example_00023_grain_residual_ddpm_v1_conservative_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\prediction_manifest.csv
review_00019,example_00023,grain,test,Output 00019,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00023_grain_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00020,example_00023,grain,test,Output 00020,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00023_grain_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00021,example_00123,blur_contrast,test,Output 00021,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00123_blur_contrast_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00022,example_00123,blur_contrast,test,Output 00022,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00123_blur_contrast_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00023,example_00123,blur_contrast,test,Output 00023,residual_ddpm_v1_conservative_test_50_steps,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\residual_ddpm_v1_conservative_test_50_steps\example_00123_blur_contrast_residual_ddpm_v1_conservative_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\prediction_manifest.csv
review_00024,example_00123,blur_contrast,test,Output 00024,residual_ddpm_v1_full_test_50_steps,outputs\predictions\residual_ddpm_v1_full_test_50steps\residual_ddpm_v1_full_test_50_steps\example_00123_blur_contrast_residual_ddpm_v1_full_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_full_test_50steps\prediction_manifest.csv
review_00025,example_00123,blur_contrast,test,Output 00025,conditional_ddpm_v3_splitaware_50_steps,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\conditional_ddpm_v3_splitaware_50_steps\example_00123_blur_contrast_conditional_ddpm_v3_splitaware_50_steps_prediction.png,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\prediction_manifest.csv
review_00026,example_00046,scratch_dust,test,Output 00026,residual_ddpm_v1_conservative_test_50_steps,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\residual_ddpm_v1_conservative_test_50_steps\example_00046_scratch_dust_residual_ddpm_v1_conservative_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\prediction_manifest.csv
review_00027,example_00046,scratch_dust,test,Output 00027,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00046_scratch_dust_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00028,example_00046,scratch_dust,test,Output 00028,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00046_scratch_dust_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00029,example_00046,scratch_dust,test,Output 00029,residual_ddpm_v1_full_test_50_steps,outputs\predictions\residual_ddpm_v1_full_test_50steps\residual_ddpm_v1_full_test_50_steps\example_00046_scratch_dust_residual_ddpm_v1_full_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_full_test_50steps\prediction_manifest.csv
review_00030,example_00046,scratch_dust,test,Output 00030,conditional_ddpm_v3_splitaware_50_steps,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\conditional_ddpm_v3_splitaware_50_steps\example_00046_scratch_dust_conditional_ddpm_v3_splitaware_50_steps_prediction.png,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\prediction_manifest.csv
review_00031,example_00045,blur_contrast,test,Output 00031,residual_ddpm_v1_conservative_test_50_steps,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\residual_ddpm_v1_conservative_test_50_steps\example_00045_blur_contrast_residual_ddpm_v1_conservative_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\prediction_manifest.csv
review_00032,example_00045,blur_contrast,test,Output 00032,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00045_blur_contrast_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00033,example_00045,blur_contrast,test,Output 00033,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00045_blur_contrast_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00034,example_00045,blur_contrast,test,Output 00034,residual_ddpm_v1_full_test_50_steps,outputs\predictions\residual_ddpm_v1_full_test_50steps\residual_ddpm_v1_full_test_50_steps\example_00045_blur_contrast_residual_ddpm_v1_full_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_full_test_50steps\prediction_manifest.csv
review_00035,example_00045,blur_contrast,test,Output 00035,conditional_ddpm_v3_splitaware_50_steps,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\conditional_ddpm_v3_splitaware_50_steps\example_00045_blur_contrast_conditional_ddpm_v3_splitaware_50_steps_prediction.png,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\prediction_manifest.csv
review_00036,example_00043,scratch_dust,test,Output 00036,residual_ddpm_v1_conservative_test_50_steps,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\residual_ddpm_v1_conservative_test_50_steps\example_00043_scratch_dust_residual_ddpm_v1_conservative_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\prediction_manifest.csv
review_00037,example_00043,scratch_dust,test,Output 00037,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00043_scratch_dust_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00038,example_00043,scratch_dust,test,Output 00038,conditional_ddpm_v3_splitaware_50_steps,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\conditional_ddpm_v3_splitaware_50_steps\example_00043_scratch_dust_conditional_ddpm_v3_splitaware_50_steps_prediction.png,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\prediction_manifest.csv
review_00039,example_00043,scratch_dust,test,Output 00039,residual_ddpm_v1_full_test_50_steps,outputs\predictions\residual_ddpm_v1_full_test_50steps\residual_ddpm_v1_full_test_50_steps\example_00043_scratch_dust_residual_ddpm_v1_full_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_full_test_50steps\prediction_manifest.csv
review_00040,example_00043,scratch_dust,test,Output 00040,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00043_scratch_dust_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00041,example_00024,blur_contrast,test,Output 00041,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00024_blur_contrast_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00042,example_00024,blur_contrast,test,Output 00042,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00024_blur_contrast_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00043,example_00024,blur_contrast,test,Output 00043,conditional_ddpm_v3_splitaware_50_steps,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\conditional_ddpm_v3_splitaware_50_steps\example_00024_blur_contrast_conditional_ddpm_v3_splitaware_50_steps_prediction.png,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\prediction_manifest.csv
review_00044,example_00024,blur_contrast,test,Output 00044,residual_ddpm_v1_full_test_50_steps,outputs\predictions\residual_ddpm_v1_full_test_50steps\residual_ddpm_v1_full_test_50_steps\example_00024_blur_contrast_residual_ddpm_v1_full_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_full_test_50steps\prediction_manifest.csv
review_00045,example_00024,blur_contrast,test,Output 00045,residual_ddpm_v1_conservative_test_50_steps,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\residual_ddpm_v1_conservative_test_50_steps\example_00024_blur_contrast_residual_ddpm_v1_conservative_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\prediction_manifest.csv
review_00046,example_00044,grain,test,Output 00046,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00044_grain_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00047,example_00044,grain,test,Output 00047,residual_ddpm_v1_full_test_50_steps,outputs\predictions\residual_ddpm_v1_full_test_50steps\residual_ddpm_v1_full_test_50_steps\example_00044_grain_residual_ddpm_v1_full_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_full_test_50steps\prediction_manifest.csv
review_00048,example_00044,grain,test,Output 00048,residual_ddpm_v1_conservative_test_50_steps,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\residual_ddpm_v1_conservative_test_50_steps\example_00044_grain_residual_ddpm_v1_conservative_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\prediction_manifest.csv
review_00049,example_00044,grain,test,Output 00049,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00044_grain_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00050,example_00044,grain,test,Output 00050,conditional_ddpm_v3_splitaware_50_steps,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\conditional_ddpm_v3_splitaware_50_steps\example_00044_grain_conditional_ddpm_v3_splitaware_50_steps_prediction.png,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\prediction_manifest.csv
review_00051,example_00053,grain,test,Output 00051,residual_ddpm_v1_conservative_test_50_steps,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\residual_ddpm_v1_conservative_test_50_steps\example_00053_grain_residual_ddpm_v1_conservative_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\prediction_manifest.csv
review_00052,example_00053,grain,test,Output 00052,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00053_grain_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00053,example_00053,grain,test,Output 00053,conditional_ddpm_v3_splitaware_50_steps,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\conditional_ddpm_v3_splitaware_50_steps\example_00053_grain_conditional_ddpm_v3_splitaware_50_steps_prediction.png,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\prediction_manifest.csv
review_00054,example_00053,grain,test,Output 00054,residual_ddpm_v1_full_test_50_steps,outputs\predictions\residual_ddpm_v1_full_test_50steps\residual_ddpm_v1_full_test_50_steps\example_00053_grain_residual_ddpm_v1_full_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_full_test_50steps\prediction_manifest.csv
review_00055,example_00053,grain,test,Output 00055,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00053_grain_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00056,example_00025,scratch_dust,test,Output 00056,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00025_scratch_dust_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00057,example_00025,scratch_dust,test,Output 00057,residual_ddpm_v1_full_test_50_steps,outputs\predictions\residual_ddpm_v1_full_test_50steps\residual_ddpm_v1_full_test_50_steps\example_00025_scratch_dust_residual_ddpm_v1_full_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_full_test_50steps\prediction_manifest.csv
review_00058,example_00025,scratch_dust,test,Output 00058,residual_ddpm_v1_conservative_test_50_steps,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\residual_ddpm_v1_conservative_test_50_steps\example_00025_scratch_dust_residual_ddpm_v1_conservative_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\prediction_manifest.csv
review_00059,example_00025,scratch_dust,test,Output 00059,conditional_ddpm_v3_splitaware_50_steps,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\conditional_ddpm_v3_splitaware_50_steps\example_00025_scratch_dust_conditional_ddpm_v3_splitaware_50_steps_prediction.png,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\prediction_manifest.csv
review_00060,example_00025,scratch_dust,test,Output 00060,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00025_scratch_dust_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00061,example_00004,scratch_dust,test,Output 00061,residual_ddpm_v1_conservative_test_50_steps,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\residual_ddpm_v1_conservative_test_50_steps\example_00004_scratch_dust_residual_ddpm_v1_conservative_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\prediction_manifest.csv
review_00062,example_00004,scratch_dust,test,Output 00062,conditional_ddpm_v3_splitaware_50_steps,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\conditional_ddpm_v3_splitaware_50_steps\example_00004_scratch_dust_conditional_ddpm_v3_splitaware_50_steps_prediction.png,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\prediction_manifest.csv
review_00063,example_00004,scratch_dust,test,Output 00063,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00004_scratch_dust_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00064,example_00004,scratch_dust,test,Output 00064,residual_ddpm_v1_full_test_50_steps,outputs\predictions\residual_ddpm_v1_full_test_50steps\residual_ddpm_v1_full_test_50_steps\example_00004_scratch_dust_residual_ddpm_v1_full_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_full_test_50steps\prediction_manifest.csv
review_00065,example_00004,scratch_dust,test,Output 00065,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00004_scratch_dust_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00066,example_00048,blur_contrast,test,Output 00066,residual_ddpm_v1_full_test_50_steps,outputs\predictions\residual_ddpm_v1_full_test_50steps\residual_ddpm_v1_full_test_50_steps\example_00048_blur_contrast_residual_ddpm_v1_full_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_full_test_50steps\prediction_manifest.csv
review_00067,example_00048,blur_contrast,test,Output 00067,residual_ddpm_v1_conservative_test_50_steps,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\residual_ddpm_v1_conservative_test_50_steps\example_00048_blur_contrast_residual_ddpm_v1_conservative_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\prediction_manifest.csv
review_00068,example_00048,blur_contrast,test,Output 00068,conditional_ddpm_v3_splitaware_50_steps,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\conditional_ddpm_v3_splitaware_50_steps\example_00048_blur_contrast_conditional_ddpm_v3_splitaware_50_steps_prediction.png,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\prediction_manifest.csv
review_00069,example_00048,blur_contrast,test,Output 00069,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00048_blur_contrast_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00070,example_00048,blur_contrast,test,Output 00070,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00048_blur_contrast_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00071,example_00054,blur_contrast,test,Output 00071,residual_ddpm_v1_conservative_test_50_steps,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\residual_ddpm_v1_conservative_test_50_steps\example_00054_blur_contrast_residual_ddpm_v1_conservative_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\prediction_manifest.csv
review_00072,example_00054,blur_contrast,test,Output 00072,residual_ddpm_v1_full_test_50_steps,outputs\predictions\residual_ddpm_v1_full_test_50steps\residual_ddpm_v1_full_test_50_steps\example_00054_blur_contrast_residual_ddpm_v1_full_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_full_test_50steps\prediction_manifest.csv
review_00073,example_00054,blur_contrast,test,Output 00073,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00054_blur_contrast_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00074,example_00054,blur_contrast,test,Output 00074,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00054_blur_contrast_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00075,example_00054,blur_contrast,test,Output 00075,conditional_ddpm_v3_splitaware_50_steps,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\conditional_ddpm_v3_splitaware_50_steps\example_00054_blur_contrast_conditional_ddpm_v3_splitaware_50_steps_prediction.png,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\prediction_manifest.csv
review_00076,example_00022,scratch_dust,test,Output 00076,residual_ddpm_v1_conservative_test_50_steps,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\residual_ddpm_v1_conservative_test_50_steps\example_00022_scratch_dust_residual_ddpm_v1_conservative_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\prediction_manifest.csv
review_00077,example_00022,scratch_dust,test,Output 00077,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00022_scratch_dust_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00078,example_00022,scratch_dust,test,Output 00078,conditional_ddpm_v3_splitaware_50_steps,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\conditional_ddpm_v3_splitaware_50_steps\example_00022_scratch_dust_conditional_ddpm_v3_splitaware_50_steps_prediction.png,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\prediction_manifest.csv
review_00079,example_00022,scratch_dust,test,Output 00079,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00022_scratch_dust_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00080,example_00022,scratch_dust,test,Output 00080,residual_ddpm_v1_full_test_50_steps,outputs\predictions\residual_ddpm_v1_full_test_50steps\residual_ddpm_v1_full_test_50_steps\example_00022_scratch_dust_residual_ddpm_v1_full_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_full_test_50steps\prediction_manifest.csv
review_00081,example_00122,grain,test,Output 00081,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00122_grain_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00082,example_00122,grain,test,Output 00082,residual_ddpm_v1_conservative_test_50_steps,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\residual_ddpm_v1_conservative_test_50_steps\example_00122_grain_residual_ddpm_v1_conservative_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\prediction_manifest.csv
